step,controller,intersection,queue
8,fixed_time,n3_2,11.296296296296296
8,fixed_time,n3_3,0.0
9,fixed_time,n0_0,0.0
9,fixed_time,n0_1,29.333333333333332
9,fixed_time,n0_2,32.02469135802469
9,fixed_time,n0_3,0.0
9,fixed_time,n1_0,5.333333333333333
9,fixed_time,n1_1,104.28395061728395
9,fixed_time,n1_2,76.66666666666667
9,fixed_time,n1_3,11.246913580246913
9,fixed_time,n2_0,8.0
9,fixed_time,n2_1,133.55555555555554
9,fixed_time,n2_2,102.07407407407408
9,fixed_time,n2_3,13.333333333333332
9,fixed_time,n3_0,0.0
9,fixed_time,n3_1,20.22222222222222
9,fixed_time,n3_2,16.62962962962963
9,fixed_time,n3_3,0.0
10,fixed_time,n0_0,0.0
10,fixed_time,n0_1,42.666666666666664
10,fixed_time,n0_2,40.91358024691358
10,fixed_time,n0_3,0.0
10,fixed_time,n1_0,5.333333333333333
10,fixed_time,n1_1,118.72839506172839
10,fixed_time,n1_2,107.66666666666666
10,fixed_time,n1_3,8.88888888888889
10,fixed_time,n2_0,8.0
10,fixed_time,n2_1,120.55555555555556
10,fixed_time,n2_2,103.51851851851852
10,fixed_time,n2_3,13.333333333333332
10,fixed_time,n3_0,0.0
10,fixed_time,n3_1,28.22222222222222
10,fixed_time,n3_2,21.962962962962962
10,fixed_time,n3_3,0.0
11,fixed_time,n0_0,0.0
11,fixed_time,n0_1,56.0
11,fixed_time,n0_2,49.80246913580247
11,fixed_time,n0_3,0.0
11,fixed_time,n1_0,5.333333333333333
11,fixed_time,n1_1,126.17283950617283
11,fixed_time,n1_2,144.66666666666666
11,fixed_time,n1_3,8.888888888888888
11,fixed_time,n2_0,8.0
11,fixed_time,n2_1,108.55555555555556
11,fixed_time,n2_2,93.96296296296296
11,fixed_time,n2_3,13.333333333333332
11,fixed_time,n3_0,0.0
11,fixed_time,n3_1,36.22222222222222
11,fixed_time,n3_2,27.296296296296294
11,fixed_time,n3_3,0.0
12,fixed_time,n0_0,0.0
12,fixed_time,n0_1,69.33333333333333
12,fixed_time,n0_2,58.691358024691354
12,fixed_time,n0_3,0.0
12,fixed_time,n1_0,5.333333333333333
12,fixed_time,n1_1,131.61728395061726
12,fixed_time,n1_2,163.33333333333331
12,fixed_time,n1_3,8.888888888888888
12,fixed_time,n2_0,8.0
12,fixed_time,n2_1,106.22222222222223
12,fixed_time,n2_2,96.4074074074074
12,fixed_time,n2_3,10.0
12,fixed_time,n3_0,0.0
12,fixed_time,n3_1,44.22222222222222
12,fixed_time,n3_2,32.629629629629626
12,fixed_time,n3_3,0.0
13,fixed_time,n0_0,0.0
13,fixed_time,n0_1,80.0
13,fixed_time,n0_2,66.46913580246913
13,fixed_time,n0_3,0.0
13,fixed_time,n1_0,5.333333333333333
13,fixed_time,n1_1,131.61728395061726
13,fixed_time,n1_2,172.33333333333331
13,fixed_time,n1_3,7.777777777777777
13,fixed_time,n2_0,6.0
13,fixed_time,n2_1,100.88888888888889
13,fixed_time,n2_2,112.85185185185185
13,fixed_time,n2_3,7.0
13,fixed_time,n3_0,0.0
13,fixed_time,n3_1,52.22222222222222
13,fixed_time,n3_2,37.96296296296296
13,fixed_time,n3_3,0.0
14,fixed_time,n0_0,0.0
14,fixed_time,n0_1,80.0
14,fixed_time,n0_2,73.2469135802469
14,fixed_time,n0_3,0.0
14,fixed_time,n1_0,5.5555555555555545
14,fixed_time,n1_1,144.50617283950615
14,fixed_time,n1_2,178.88888888888889
14,fixed_time,n1_3,6.777777777777777
14,fixed_time,n2_0,3.0
14,fixed_time,n2_1,108.55555555555556
14,fixed_time,n2_2,126.62962962962962
14,fixed_time,n2_3,6.999999999999999
14,fixed_time,n3_0,0.0
14,fixed_time,n3_1,58.55555555555556
14,fixed_time,n3_2,42.629629629629626
14,fixed_time,n3_3,0.0
15,fixed_time,n0_0,0.0
15,fixed_time,n0_1,80.0
15,fixed_time,n0_2,79.54320987654319
15,fixed_time,n0_3,0.0
15,fixed_time,n1_0,4.962962962962962
15,fixed_time,n1_1,144.35802469135803
15,fixed_time,n1_2,177.51851851851853
15,fixed_time,n1_3,6.296296296296296
15,fixed_time,n2_0,3.333333333333333
15,fixed_time,n2_1,118.0
15,fixed_time,n2_2,133.92592592592592
15,fixed_time,n2_3,6.444444444444445
15,fixed_time,n3_0,0.0
15,fixed_time,n3_1,62.88888888888889
15,fixed_time,n3_2,45.74074074074074
15,fixed_time,n3_3,0.0
16,fixed_time,n0_0,0.0
16,fixed_time,n0_1,64.0
16,fixed_time,n0_2,63.54320987654319
16,fixed_time,n0_3,0.0
16,fixed_time,n1_0,20.962962962962962
16,fixed_time,n1_1,136.91358024691357
16,fixed_time,n1_2,145.51851851851853
16,fixed_time,n1_3,14.296296296296296
16,fixed_time,n2_0,19.333333333333332
16,fixed_time,n2_1,125.44444444444444
16,fixed_time,n2_2,117.92592592592592
16,fixed_time,n2_3,14.444444444444445
16,fixed_time,n3_0,0.0
16,fixed_time,n3_1,54.88888888888889
16,fixed_time,n3_2,37.74074074074074
16,fixed_time,n3_3,0.0
17,fixed_time,n0_0,0.0
17,fixed_time,n0_1,48.0
17,fixed_time,n0_2,47.54320987654319
17,fixed_time,n0_3,0.0
17,fixed_time,n1_0,36.96296296296296
17,fixed_time,n1_1,134.91358024691357
17,fixed_time,n1_2,139.51851851851853
17,fixed_time,n1_3,22.296296296296298
17,fixed_time,n2_0,35.33333333333333
17,fixed_time,n2_1,147.44444444444446
17,fixed_time,n2_2,100.92592592592592
17,fixed_time,n2_3,22.444444444444443
17,fixed_time,n3_0,0.0
17,fixed_time,n3_1,46.88888888888889
17,fixed_time,n3_2,29.74074074074074
17,fixed_time,n3_3,0.0
18,fixed_time,n0_0,0.0
18,fixed_time,n0_1,32.0
18,fixed_time,n0_2,31.543209876543187
18,fixed_time,n0_3,0.0
18,fixed_time,n1_0,52.96296296296296
18,fixed_time,n1_1,145.91358024691357
18,fixed_time,n1_2,139.51851851851853
18,fixed_time,n1_3,30.296296296296298
18,fixed_time,n2_0,51.33333333333333
18,fixed_time,n2_1,158.44444444444446
18,fixed_time,n2_2,89.92592592592592
18,fixed_time,n2_3,30.444444444444443
18,fixed_time,n3_0,0.0
18,fixed_time,n3_1,38.88888888888889
18,fixed_time,n3_2,21.74074074074074
18,fixed_time,n3_3,0.0
19,fixed_time,n0_0,0.0
19,fixed_time,n0_1,16.0
19,fixed_time,n0_2,15.543209876543187
19,fixed_time,n0_3,0.0
19,fixed_time,n1_0,68.96296296296296
19,fixed_time,n1_1,151.91358024691357
19,fixed_time,n1_2,131.51851851851853
19,fixed_time,n1_3,38.2962962962963
19,fixed_time,n2_0,67.33333333333333
19,fixed_time,n2_1,168.19753086419752
19,fixed_time,n2_2,81.66666666666666
