controller,mean_delay,total_throughput,mean_queue,peak_queue,final_queue
fixed_time,646.6905188531015,10063.956488395132,646.6905188531015,992.3196836525598,861.7493025058714
max_pressure,282.0001154754242,11744.198537050988,282.0001154754242,498.0204136802894,421.80146294901846
